Date,Open,High,Low,Close,Adj Close,Volume
2021-04-09,75.349998,75.690002,74.900002,75.580002,75.302231,13285700
2021-04-12,75.250000,76.190002,75.199997,76.120003,75.840248,10634900
2021-04-13,76.160004,77.010002,75.900002,76.669998,76.388222,13142400
2021-04-14,77.040001,77.360001,76.510002,76.820000,76.537666,12730700
2021-04-15,77.000000,78.550003,76.830002,78.290001,78.002266,13604200
2021-04-16,78.309998,79.339996,77.860001,78.949997,78.659836,13334100
2021-04-19,78.809998,80.209999,78.339996,78.750000,78.460579,19967200
2021-04-20,78.699997,79.419998,78.650002,79.239998,78.948776,12562300
2021-04-21,78.790001,79.339996,76.529999,76.660004,76.378258,18672800
2021-04-22,76.110001,76.480003,74.750000,74.870003,74.594841,16769300
2021-04-23,74.290001,75.000000,73.849998,74.970001,74.694473,10664700
2021-04-26,74.970001,75.040001,74.199997,74.500000,74.226196,9402200
2021-04-27,74.389999,75.430000,74.220001,75.220001,74.943550,9300200
2021-04-28,75.160004,75.269997,74.660004,74.769997,74.495201,6107800
2021-04-29,75.379997,75.900002,74.639999,75.870003,75.591164,7940400
2021-04-30,75.559998,75.919998,75.190002,75.790001,75.511459,7825300
2021-05-03,76.279999,77.480003,76.080002,77.330002,77.045799,15319600
2021-05-04,77.070000,78.699997,76.930000,78.529999,78.241386,15316500
2021-05-05,78.970001,79.830002,78.419998,79.190002,78.898964,12271900
2021-05-06,79.180000,79.959999,78.559998,79.739998,79.446938,14089700
2021-05-07,79.809998,80.540001,78.580002,80.400002,80.104515,14073400
2021-05-10,78.769997,80.720001,78.599998,80.150002,79.855431,17356700
2021-05-11,79.750000,79.900002,77.250000,77.690002,77.404472,12980400
2021-05-12,77.570000,78.190002,76.529999,76.750000,76.467926,12302600
2021-05-13,77.529999,78.440002,76.879997,78.139999,77.852814,11399300
2021-05-14,78.120003,79.050003,78.120003,78.889999,78.600060,9033400
2021-05-17,78.879997,79.529999,78.849998,79.080002,78.789368,6637900
2021-05-18,78.989998,79.470001,78.389999,78.690002,78.400803,6643100
2021-05-19,77.809998,78.769997,77.550003,78.739998,78.450607,8165000
2021-05-20,78.949997,79.320000,78.680000,78.720001,78.430687,8802700
2021-05-21,79.190002,79.849998,78.980003,79.029999,78.739548,8629000
2021-05-24,79.489998,79.879997,79.139999,79.379997,79.088257,7044700
2021-05-25,79.610001,79.680000,78.650002,78.830002,78.540283,7160600
2021-05-26,78.589996,79.370003,78.550003,79.260002,78.968704,12851100
2021-05-27,79.500000,80.050003,78.839996,78.980003,78.689735,12867800
2021-05-28,78.949997,79.360001,78.669998,78.739998,78.450607,6929700
2021-06-01,79.580002,79.830002,78.480003,79.570000,79.277565,10485300
2021-06-02,79.699997,80.930000,79.510002,80.269997,79.974983,12249300
2021-06-03,79.800003,81.459999,79.650002,81.089996,80.791969,12038700
2021-06-04,81.419998,83.959999,81.370003,82.889999,82.585358,14502900
2021-06-07,82.940002,84.250000,82.849998,83.940002,83.631508,10445600
2021-06-08,84.029999,85.029999,84.000000,84.610001,84.299042,10726800
2021-06-09,84.599998,84.830002,84.029999,84.519997,84.209366,9720300
2021-06-10,84.160004,84.459999,81.709999,82.300003,81.997536,16680800
2021-06-11,81.980003,83.239998,81.839996,82.900002,82.595329,11066500
2021-06-14,83.000000,83.099998,82.129997,82.620003,82.316353,10173200
2021-06-15,82.000000,82.510002,81.349998,81.639999,81.339951,17298000
2021-06-16,77.989998,78.550003,75.900002,77.080002,76.796715,36560600
2021-06-17,76.989998,77.739998,76.559998,77.559998,77.274948,14836100
2021-06-18,76.900002,76.910004,75.970001,76.230003,75.949844,22521200
2021-06-21,76.610001,78.099998,76.550003,77.989998,77.703369,8924300
2021-06-22,78.059998,79.190002,77.660004,78.680000,78.390831,9845800
2021-06-23,78.760002,78.870003,78.059998,78.099998,77.812965,7295900
2021-06-24,78.650002,78.959999,77.610001,77.739998,77.454285,9624000
2021-06-25,78.029999,78.610001,77.559998,78.459999,78.171638,12845000
