Date	Open	High	Low	Close	AdjClose	Volume
Sep 01, 2020	12,109.75	12,328.75	12,093.00	12,312.50	12,312.50	518,997
Aug 31, 2020	12,002.75	12,165.00	11,988.25	12,114.00	12,114.00	480,979
Aug 28, 2020	11,953.25	12,018.25	11,920.50	11,991.75	11,991.75	489,066
Aug 27, 2020	11,984.50	12,046.00	11,834.75	11,952.75	11,952.75	709,346
Aug 26, 2020	11,739.50	12,001.50	11,726.75	11,991.25	11,991.25	578,801
Aug 25, 2020	11,636.00	11,742.25	11,574.75	11,726.25	11,726.25	495,891
Aug 24, 2020	11,581.00	11,722.50	11,528.25	11,636.25	11,636.25	617,004
Aug 21, 2020	11,480.00	11,573.50	11,407.00	11,562.00	11,562.00	414,226
Aug 20, 2020	11,327.00	11,496.50	11,221.50	11,477.25	11,477.25	401,137
Aug 19, 2020	11,414.25	11,438.00	11,299.00	11,332.00	11,332.00	410,893
Aug 18, 2020	11,285.50	11,415.25	11,268.00	11,409.25	11,409.25	326,816
Aug 17, 2020	11,145.00	11,300.50	11,142.25	11,286.75	11,286.75	246,403
Aug 14, 2020	11,180.50	11,237.75	11,096.00	11,133.75	11,133.75	398,616
Aug 13, 2020	11,115.50	11,266.00	11,094.25	11,175.25	11,175.25	413,661
Aug 12, 2020	10,928.50	11,185.75	10,878.50	11,126.00	11,126.00	434,240
Aug 11, 2020	11,072.25	11,157.75	10,845.50	10,878.50	10,878.50	561,748
Aug 10, 2020	11,140.25	11,156.50	10,928.25	11,072.00	11,072.00	485,730
Aug 07, 2020	11,260.50	11,283.25	11,035.25	11,122.75	11,122.75	532,554
Aug 06, 2020	11,094.00	11,271.75	11,051.25	11,261.25	11,261.25	420,437
Aug 05, 2020	11,080.50	11,144.00	11,055.75	11,091.75	11,091.75	348,822
Aug 04, 2020	11,054.00	11,094.75	10,983.00	11,086.00	11,086.00	395,698
Aug 03, 2020	10,933.25	11,073.00	10,876.25	11,044.25	11,044.25	389,622
Jul 31, 2020	10,906.50	10,939.00	10,691.00	10,890.50	10,890.50	631,553
Jul 30, 2020	10,700.00	10,897.25	10,502.75	10,794.00	10,794.00	521,157
Jul 29, 2020	10,558.00	10,699.75	10,512.25	10,674.25	10,674.25	368,010
Jul 28, 2020	10,682.50	10,758.50	10,514.00	10,540.00	10,540.00	445,252
Jul 27, 2020	10,490.00	10,684.00	10,401.00	10,675.25	10,675.25	444,802
Jul 24, 2020	10,565.50	10,597.00	10,301.00	10,459.00	10,459.00	652,482
Jul 23, 2020	10,850.00	10,938.50	10,514.50	10,548.25	10,548.25	644,189
Jul 22, 2020	10,850.75	10,916.25	10,761.25	10,804.25	10,804.25	483,851
Jul 21, 2020	10,952.25	11,058.00	10,784.75	10,851.00	10,851.00	587,994
Jul 20, 2020	10,621.25	10,964.50	10,546.25	10,951.00	10,951.00	496,402
Jul 17, 2020	10,532.25	10,669.75	10,523.75	10,622.50	10,622.50	443,143
Jul 16, 2020	10,693.00	10,698.25	10,475.50	10,511.75	10,511.75	628,898
Jul 15, 2020	10,706.00	10,766.50	10,551.25	10,683.25	10,683.25	719,947
Jul 14, 2020	10,602.00	10,693.00	10,358.75	10,646.25	10,646.25	915,009
Jul 13, 2020	10,848.25	11,058.50	10,561.50	10,600.00	10,600.00	736,178
Jul 10, 2020	10,727.00	10,847.50	10,625.50	10,837.25	10,837.25	527,570
Jul 09, 2020	10,674.25	10,774.25	10,560.00	10,727.50	10,727.50	607,385
Jul 08, 2020	10,526.00	10,673.00	10,505.25	10,662.25	10,662.25	481,023
Jul 07, 2020	10,600.00	10,694.50	10,505.75	10,532.25	10,532.25	465,212
Jul 06, 2020	10,352.00	10,614.50	10,308.75	10,598.50	10,598.50	486,369
Jul 02, 2020	10,258.50	10,422.25	10,246.50	10,355.75	10,355.75	404,764
Jul 01, 2020	10,141.00	10,310.00	10,076.00	10,268.75	10,268.75	402,791
Jun 30, 2020	9,983.00	10,171.50	9,940.25	10,147.25	10,147.25	422,348
Jun 29, 2020	9,785.50	9,997.00	9,728.75	9,973.75	9,973.75	479,544
Jun 26, 2020	10,087.00	10,120.50	9,824.25	9,865.50	9,865.50	576,150
Jun 25, 2020	10,005.25	10,107.00	9,885.50	10,088.25	10,088.25	514,249
Jun 24, 2020	10,183.00	10,242.00	9,927.25	10,010.75	10,010.75	661,645
Jun 23, 2020	10,121.50	10,296.25	9,972.25	10,196.00	10,196.00	406,477
Jun 22, 2020	9,868.00	10,134.50	9,843.50	10,124.75	10,124.75	354,768
Jun 19, 2020	9,997.25	10,123.25	9,997.25	10,120.84	10,120.84	518,436
Jun 18, 2020	9,995.25	10,040.75	9,879.50	9,995.75	9,995.75	67,457
Jun 17, 2020	9,961.75	10,059.00	9,927.00	9,994.50	9,994.50	100,473
Jun 16, 2020	9,812.50	10,013.75	9,797.75	9,972.50	9,972.50	216,305
Jun 15, 2020	9,536.75	9,815.50	9,381.75	9,800.50	9,800.50	319,211
Jun 12, 2020	9,616.00	9,849.25	9,494.75	9,645.00	9,645.00	508,840
Jun 11, 2020	10,086.25	10,107.00	9,584.50	9,616.75	9,616.75	828,944
Jun 10, 2020	9,960.00	10,155.50	9,958.50	10,087.25	10,087.25	557,713
Jun 09, 2020	9,887.25	10,005.25	9,811.50	9,951.00	9,951.00	437,442
Jun 08, 2020	9,819.00	9,901.00	9,747.00	9,884.75	9,884.75	391,647
Jun 05, 2020	9,643.50	9,846.25	9,601.75	9,808.50	9,808.50	513,656
Jun 04, 2020	9,685.50	9,742.50	9,572.25	9,626.25	9,626.25	462,358
Jun 03, 2020	9,657.50	9,728.25	9,635.50	9,684.75	9,684.75	376,694
